Player Name,Player Team,Player Value,Player Position,Player Age
rachaadwhite,TBB,4632,RB,23
diontaejohnson,PIT,4605,WR,26
patfreiermuth,PIT,4540,TE,24
amaricooper,CLE,4486,WR,28
isiahpacheco,KCC,4447,RB,24
joemixon,CIN,4414,RB,26
calvinridley,JAC,4408,WR,28
rashodbateman,BAL,4403,WR,23
2025late1st,FA,4372,PI,
dalvincook,MIN,4340,RB,27
tylerallgeier,ATL,4325,RB,22
jamescook,BUF,4310,RB,23
2023early2nd,FA,4308,PI,
mikeevans,TBB,4290,WR,29
mikewilliams,LAC,4237,WR,28
deshaunwatson,CLE,4194,QB,27
aaronjones,GBP,4180,RB,28
camakers,LAR,4158,RB,23
milessanders,PHI,4137,RB,25
ajdillon,GBP,4111,RB,24
deandrehopkins,ARI,4095,WR,30
brianrobinson,WAS,4068,RB,24
dakprescott,DAL,3930,QB,29
kadariustoney,KCC,3866,WR,24
tuatagovailoa,MIA,3805,QB,25
2023mid2nd,FA,3803,PI,
khalilherbert,CHI,3771,RB,24
treylance,SFO,3763,QB,22
2024early2nd,FA,3723,PI,
gregdulcich,DEN,3723,TE,22
courtlandsutton,DEN,3706,WR,27
gabrieldavis,BUF,3703,WR,23
keenanallen,LAC,3701,WR,30
daltonschultz,DAL,3698,TE,26
davidmontgomery,CHI,3679,RB,25
elijahmoore,NYJ,3671,WR,22
wandalerobinson,NYG,3669,WR,22
davidnjoku,CLE,3665,TE,26
alvinkamara,NOS,3653,RB,27
jakobimeyers,NEP,3602,WR,26
darnellmooney,CHI,3588,WR,25
colekmet,CHI,3549,TE,24
skyymoore,KCC,3510,WR,22
evanengram,JAC,3482,TE,28
danieljones,NYG,3455,QB,25
2024mid2nd,FA,3411,PI,
romeodoubs,GBP,3398,WR,22
treymcbride,ARI,3396,TE,23
alecpierce,IND,3383,WR,22
jujusmithschuster,KCC,3383,WR,26
tylerlockett,SEA,3362,WR,30
rondalemoore,ARI,3357,WR,22
chigoziemokonkwo,TEN,3353,TE,23
kennethgainwell,PHI,3339,RB,24
2023late2nd,FA,3336,PI,
jamaalwilliams,DET,3336,RB,27
antoniogibson,WAS,3325,RB,24
johnmetchie,HOU,3312,WR,22
alexandermattison,MIN,3310,RB,24
donovanpeoplesjones,CLE,3308,WR,24
jamesconner,ARI,3303,RB,27
2025early2nd,FA,3249,PI,
kennypickett,PIT,3229,QB,24
darrenwaller,LVR,3208,TE,30
isaiahlikely,BAL,3205,TE,22
joshpalmer,LAC,3177,WR,23
elijahmitchell,SFO,3135,RB,24
2024late2nd,FA,3126,PI,
2025mid2nd,FA,3090,PI,
dawsonknox,BUF,3088,TE,26
danielbellinger,NYG,2947,TE,22
chaseclaypool,CHI,2915,WR,24
kareemhunt,CLE,2906,RB,27
ezekielelliott,DAL,2905,RB,27
nicocollins,HOU,2903,WR,24
jaredgoff,DET,2851,QB,28
2025late2nd,FA,2834,PI,
tylerboyd,CIN,2820,WR,28
jordanlove,GBP,2761,QB,24
brandincooks,HOU,2754,WR,29
isaiahhodgins,NYG,2752,WR,24
curtissamuel,WAS,2696,WR,26
djchark,DET,2692,WR,26
devinsingletary,BUF,2684,RB,25
zayjones,JAC,2674,WR,27
damienharris,NEP,2667,RB,26
russellwilson,DEN,2633,QB,34
kirkcousins,MIN,2593,QB,34
allenlazard,GBP,2593,WR,27
michaelgallup,DAL,2584,WR,27
hunterrenfrow,LVR,2563,WR,27
khalilshakir,BUF,2522,WR,23
rashidshaheed,NOS,2519,WR,24
kjosborn,MIN,2505,WR,25
zamirwhite,LVR,2504,RB,23
derekcarr,LVR,2491,QB,31
mikegesicki,MIA,2488,TE,27
brockpurdy,SFO,2456,QB,23
michaelcarter,NYJ,2436,RB,23
jaylenwarren,PIT,2433,RB,24
genosmith,SEA,2419,QB,32
noahfant,SEA,2409,TE,25
macjones,NEP,2400,QB,24
dontaforeman,CAR,2397,RB,26
tyquanthornton,NEP,2368,WR,22
terracemarshall,CAR,2364,WR,22
jelaniwoods,IND,2355,TE,24
2023early3rd,FA,2352,PI,
michaelthomas,NOS,2300,WR,30
cadeotton,TBB,2283,TE,23
leonardfournette,TBB,2280,RB,28
aaronrodgers,GBP,2248,QB,39
clydeedwardshelaire,KCC,2230,RB,23
chubahubbard,CAR,2223,RB,23
isaiahspiller,LAC,2216,RB,21
2023mid3rd,FA,2188,PI,
2024early3rd,FA,2163,PI,
davidbell,CLE,2151,WR,22
parriscampbell,IND,2123,WR,25
mecolehardman,KCC,2112,WR,25
desmondridder,ATL,2060,QB,23
gregdortch,ARI,2053,WR,24
zonovanknight,NYJ,2044,RB,21
dariusslayton,NYG,2034,WR,26
geraldeverett,LAC,2022,TE,28
irvsmithjr,MIN,2009,TE,24
rashaadpenny,SEA,2007,RB,27
2024mid3rd,FA,1945,PI,
juwanjohnson,NOS,1923,TE,26
jakeferguson,DAL,1918,TE,24
hassanhaskins,TEN,1902,RB,23
marquezvaldesscantling,KCC,1888,WR,28
jefferywilson,MIA,1883,RB,27
kyrenwilliams,LAR,1869,RB,22
jerickmckinnon,KCC,1860,RB,30
kjhamler,DEN,1858,WR,23
2025early3rd,FA,1854,PI,
2023late3rd,FA,1853,PI,
matthewstafford,LAR,1848,QB,35
haydenhurst,CIN,1827,TE,29
samajeperine,CIN,1803,RB,27
jamesrobinson,NYJ,1745,RB,24
devinduvernay,BAL,1733,WR,25
2024late3rd,FA,1731,PI,
pierrestrongjr,NEP,1705,RB,24
tylerhigbee,LAR,1704,TE,30
jeromeford,CLE,1697,RB,23
zachertz,ARI,1691,TE,32
isaiahmckenzie,BUF,1655,WR,27
vanjefferson,LAR,1652,WR,26
cordarrellepatterson,ATL,1650,RB,32
adamthielen,MIN,1633,WR,32
gusedwards,BAL,1619,RB,27
samhowell,WAS,1617,QB,22
2025mid3rd,FA,1613,PI,
jimmygaroppolo,SFO,1604,QB,31
keaontayingram,ARI,1584,RB,23
kylephilips,TEN,1547,WR,23
noahgray,KCC,1525,TE,23
malikwillis,TEN,1521,QB,23
albertokwuegbunam,DEN,1510,TE,24
hunterhenry,NEP,1509,TE,28
laviskashenault,CAR,1509,WR,24
fostermoreau,LVR,1488,TE,25
2025late3rd,FA,1474,PI,
tyriondavisprice,SFO,1460,RB,22
jordanmason,SFO,1432,RB,23
jalentolbert,DAL,1422,WR,24
coreydavis,NYJ,1419,WR,28
joshuakelley,LAC,1415,RB,25
russellgage,TBB,1406,WR,27
tylerconklin,NYJ,1405,TE,27
kevinharris,NEP,1405,RB,22
nyheimhines,BUF,1398,RB,26
odellbeckham,FA,1365,WR,30
deonjackson,IND,1356,RB,24
enobenjamin,NOS,1349,RB,23
allenrobinson,LAR,1341,WR,29
raheemmostert,MIA,1337,RB,30
calvinaustiniii,PIT,1326,WR,24
dyamibrown,WAS,1323,WR,23
malikdavis,DAL,1311,RB,24
quezwatkins,PHI,1296,WR,24
brevinjordan,HOU,1287,TE,22
dernestjohnson,CLE,1269,RB,27
chaseedmonds,DEN,1251,RB,26
justynross,KCC,1251,WR,23
timpatrick,DEN,1248,WR,29
jauanjennings,SFO,1246,WR,25
2023early4th,FA,1239,PI,
kendrickbourne,NEP,1239,WR,27
donaldparham,LAC,1239,TE,25
noahbrown,DAL,1236,WR,25
taysomhill,NOS,1230,TE,32
tommytremble,CAR,1229,TE,22
jamycalhasty,JAC,1224,RB,26
harrisonbryant,CLE,1217,TE,24
richiejames,NYG,1201,WR,27
zackmoss,IND,1199,RB,25
roberttonyan,GBP,1141,TE,28
trestanebner,CHI,1141,RB,24
2023mid4th,FA,1137,PI,
tutuatwell,LAR,1128,WR,23
2024early4th,FA,1120,PI,
calebhuntley,ATL,1120,RB,24
kenenwangwu,MIN,1110,RB,25
snoopconner,JAC,1108,RB,23
tychandler,MIN,1101,RB,24
anthonyschwartz,CLE,1099,WR,22
jalenguyton,LAC,1091,WR,25
amarirodgers,HOU,1079,WR,23
chrisevans,CIN,1078,RB,25
2023late4th,FA,1074,PI,
ryantannehill,TEN,1072,QB,34
tylerhuntley,BAL,1066,QB,25
marquezcallaway,NOS,1065,WR,24
2024mid4th,FA,1063,PI,
brockwright,DET,1047,TE,24
jameiswinston,NOS,1040,QB,29
deejaydallas,SEA,1031,RB,24
velusjones,CHI,1027,WR,25
dannygray,SFO,1026,WR,23
2024late4th,FA,1013,PI,
nickwestbrookikhine,TEN,1010,WR,26
denzelmims,NYJ,1009,WR,25
robertwoods,TEN,1002,WR,30
zachwilson,NYJ,999,QB,23
olamidezaccheaus,ATL,999,WR,25
tylerbadie,DEN,996,RB,23
joshreynolds,DET,992,WR,28
devanteparker,NEP,989,WR,30
mattcorral,CAR,983,QB,24
bostonscott,PHI,971,RB,27
jamesmitchell,DET,961,TE,23
benskowronek,LAR,957,WR,25
kylengranson,IND,955,TE,24
davismills,HOU,941,QB,24
jonnusmith,NEP,936,TE,27
baileyzappe,NEP,934,QB,23
mackhollins,LVR,926,WR,29
jeremyruckert,NYJ,914,TE,22
2025early4th,FA,913,PI,
willdissly,SEA,913,TE,26
sterlingshepard,NYG,908,WR,30
equanimeousstbrown,CHI,904,WR,26
bakermayfield,LAR,899,QB,27
shismith,CAR,892,WR,24
justicehill,BAL,883,RB,25
2025mid4th,FA,881,PI,
darrellhenderson,FA,877,RB,25
austinhooper,TEN,876,TE,28
adamtrautman,NOS,873,TE,26
tremckitty,LAC,863,TE,24
travishomer,SEA,856,RB,24
jaretpatterson,WAS,835,RB,23
jarrettstidham,LVR,827,QB,26
dontrellhilliard,TEN,820,RB,28
kyletrask,TBB,819,QB,25
quintezcephus,DET,818,WR,24
jamalagnew,JAC,808,WR,27
keshawnvaughn,TBB,801,RB,25
demarcusrobinson,BAL,797,WR,28
ashtondulin,IND,783,WR,25
jdmckissic,WAS,774,RB,29
jarvislandry,NOS,772,WR,30
juliuschestnut,TEN,754,RB,22
2025late4th,FA,751,PI,
garybrightwell,NYG,741,RB,24
kalifraymond,DET,734,WR,28
jermarjefferson,DET,733,RB,22
samdarnold,CAR,715,QB,25
deandrecarter,LAC,712,WR,29
mikewhite,NYJ,709,QB,27
trequansmith,NOS,688,WR,27
demetricfelton,CLE,687,RB,24
dwayneeskridge,SEA,682,WR,26
darryntonevans,CHI,679,RB,24
tyjohnson,NYJ,673,RB,25
moaliecox,IND,669,TE,29
gardnerminshew,PHI,668,QB,26
treysermon,PHI,653,RB,24
braxtonberrios,NYJ,651,WR,27
tylerjohnson,LVR,649,WR,24
marvinjones,JAC,648,WR,33
justinjackson,DET,632,RB,27
colbyparkinson,SEA,631,TE,24
tylanwallace,BAL,630,WR,23
trayveonwilliams,CIN,626,RB,25
anthonymcfarland,PIT,621,RB,24
jalenreagor,MIN,618,WR,24
nkealharry,CHI,617,WR,25
erikezukanma,MIA,616,WR,23
cedrickwilson,MIA,588,WR,27
jamesproche,BAL,580,WR,26
mylesgaskin,MIA,569,RB,26
salvonahmed,MIA,569,RB,24
hunterlong,MIA,568,TE,24
zachpascal,PHI,566,WR,28
taylorheinicke,WAS,557,QB,30
charliekolar,BAL,556,TE,24
jaelondarden,CLE,546,WR,24
jacobybrissett,CLE,537,QB,30
loganthomas,WAS,524,TE,31
ronaldjones,KCC,518,RB,25
kavontaeturpin,DAL,510,WR,26
trentsherfield,MIA,509,WR,27
bennysnell,PIT,508,RB,25
scottmiller,TBB,499,WR,25
ihmirsmithmarsette,KCC,492,WR,23
nelsonagholor,NEP,483,WR,29
johnbates,WAS,477,TE,25
cjuzomah,NYJ,476,TE,30
rashardhiggins,CAR,467,WR,28
kenyandrake,BAL,437,RB,29
chrismoore,HOU,404,WR,29
jalenwydermyer,IND,395,TE,22
lataviusmurray,DEN,391,RB,33
jjtaylor,NEP,388,RB,25
marcusmariota,ATL,381,QB,29
samehlinger,IND,364,QB,24
darrelwilliams,ARI,363,RB,27
ianthomas,CAR,350,TE,26
carsonwentz,WAS,348,QB,30
craigreynolds,DET,330,RB,26
sinceremccormick,LVR,322,RB,22
skylarthompson,MIA,310,QB,25
ojhoward,HOU,308,TE,28
brycenhopkins,LAR,306,TE,25
tonyjones,SEA,297,RB,25
mikestrachan,IND,294,WR,25
lancemccutcheon,LAR,289,WR,24
josholiver,BAL,279,TE,26
mikeboone,DEN,276,RB,27
bryanedwards,FA,264,WR,24
jamisoncrowder,BUF,254,WR,29
collinjohnson,NYG,250,WR,25
marlonmack,DEN,236,RB,27
deonteharty,NOS,229,WR,25
mitchelltrubisky,PIT,225,QB,28
cameronbrate,TBB,224,TE,31
kylinhill,FA,224,RB,24
larryrountree,LAC,221,RB,25
teddybridgewater,MIA,218,QB,30
liljordanhumphrey,NEP,217,WR,24
milesboykin,PIT,214,WR,26
robbieanderson,ARI,209,WR,29
mattbreida,NYG,208,RB,28
danarnold,JAC,205,TE,28
jameswashington,FA,197,WR,26
jacobharris,LAR,197,WR,25
hunterbryant,FA,192,TE,24
andydalton,NOS,186,QB,35
sammywatkins,BAL,176,WR,29
marquisegoodwin,SEA,175,WR,32
drewsample,CIN,173,TE,26
dezfitzpatrick,PIT,172,WR,25
audentate,ARI,163,WR,26
tyreejackson,PHI,161,TE,26
olabisijohnson,MIN,157,WR,26
shanezylstra,DET,150,TE,26
prestonwilliams,CAR,149,WR,25
lynnbowden,NEP,144,WR,25
drewlock,SEA,142,QB,26
willfuller,FA,138,WR,28
kennygolladay,NYG,136,WR,29
jeremymcnichols,PIT,135,RB,27
cooperrush,DAL,125,QB,29
pjwalker,CAR,122,QB,28
juliojones,TBB,122,WR,34
anthonyfirkser,ATL,121,TE,28
kellenmond,CLE,114,QB,23
dareogunbowale,HOU,112,RB,28
keelancole,LVR,109,WR,29
byronpringle,CHI,104,WR,29
melvingordon,KCC,101,RB,29
jakefunk,IND,74,RB,25
kyleallen,HOU,67,QB,27
ameerabdullah,LVR,65,RB,29
randallcobb,GBP,41,WR,32
sonymichel,FA,39,RB,28
davidmoore,FA,33,WR,28
tymontgomery,NEP,27,RB,30
mikeweber,FA,12,RB,25
rexburkhead,HOU,9,RB,32
joshdoctson,FA,6,WR,30
emanuelhall,FA,2,WR,25
mattryan,IND,0,QB,37
masonrudolph,PIT,0,QB,27
carsonstrong,FA,0,QB,23
coltmccoy,ARI,0,QB,36
